Date,LAT_PWR_Building_Total (kW),LAT_PWR_Roof_Mech_Electric (kW),LAT_PWR_Building_Total - New + Old meters (kW),LAT_PWR_Building_Total - Old Meters (kW)
2017-01-02 22:45,558.698888888889,208.9988888888889,558.698888888889,353.70000000000005
2017-01-02 23:00,529.6022222222223,207.00222222222223,529.6022222222223,326.6
2017-01-02 23:15,542.5,207.0,542.5,339.5
2017-01-02 23:30,532.9,207.0,532.9,329.9
2017-01-02 23:45,529.7,207.0,529.7,326.70000000000005
2017-01-03 00:00,534.9,207.0,534.9,331.9
2017-01-03 00:15,538.901111111111,206.0011111111111,538.901111111111,336.9
2017-01-03 00:30,531.1,206.0,531.1,329.1
2017-01-03 00:45,532.2,206.0,532.2,330.2
2017-01-03 01:00,537.6,206.0,537.6,335.6
2017-01-03 01:15,531.8,206.0,531.8,329.79999999999995
2017-01-03 01:30,541.8988888888889,206.9988888888889,541.8988888888889,338.9
2017-01-03 01:45,530.7011111111111,206.0011111111111,530.7011111111111,328.70000000000005
2017-01-03 02:00,536.4988888888889,206.9988888888889,536.4988888888889,333.5
2017-01-03 02:15,528.6011111111111,206.0011111111111,528.6011111111111,326.6
2017-01-03 02:30,536.0,206.0,536.0,334.0
2017-01-03 02:45,537.9988888888889,206.9988888888889,537.9988888888889,335.0
2017-01-03 03:00,550.3,207.0,550.3,347.29999999999995
2017-01-03 03:15,529.2,207.0,529.2,326.20000000000005
2017-01-03 03:30,547.2,207.0,547.2,344.2
2017-01-03 03:45,540.7,207.0,540.7,337.7
2017-01-03 04:00,541.3,207.0,541.3,338.29999999999995
2017-01-03 04:15,534.3,207.0,534.3,331.29999999999995
2017-01-03 04:30,536.1011111111111,206.0011111111111,536.1011111111111,334.1
2017-01-03 04:45,526.3,206.0,526.3,324.29999999999995
2017-01-03 05:00,533.6,206.0,533.6,331.6
2017-01-03 05:15,536.9,206.0,536.9,334.9
2017-01-03 05:30,537.4,206.0,537.4,335.4
2017-01-03 05:45,539.1,206.0,539.1,337.1
2017-01-03 06:00,528.3,206.0,528.3,326.3
2017-01-03 06:15,540.3,206.0,540.3,338.3
2017-01-03 06:30,523.9,206.0,523.9,321.9
2017-01-03 06:45,538.6988888888889,206.9988888888889,538.6988888888889,335.7
2017-01-03 07:00,550.9977777777777,208.99777777777777,550.9977777777777,346.0
2017-01-03 07:15,556.2033333333334,207.00222222222223,556.2033333333334,354.20000000000005
2017-01-03 07:30,546.0966666666667,208.99777777777777,546.0966666666667,341.1
2017-01-03 07:45,559.3966666666666,211.99666666666667,559.3966666666666,351.4
2017-01-03 08:00,563.3011111111111,211.00111111111113,563.3011111111111,356.29999999999995
2017-01-03 08:15,563.4977777777779,212.9977777777778,563.4977777777779,354.5
2017-01-03 08:30,567.2966666666667,215.9966666666667,567.2966666666667,355.3
2017-01-03 08:45,584.8977777777777,217.9977777777778,584.8977777777777,370.9
2017-01-03 09:00,574.5955555555556,221.99555555555554,574.5955555555556,356.6
2017-01-03 09:15,581.4988888888889,222.9988888888889,581.4988888888889,362.5
2017-01-03 09:30,594.901111111111,222.0011111111111,594.901111111111,376.9
2017-01-03 09:45,608.7944444444445,226.99444444444447,608.7944444444445,385.8
2017-01-03 10:00,599.2977777777778,228.9977777777778,599.2977777777778,374.3
2017-01-03 10:15,607.1,229.0,607.1,382.1
2017-01-03 10:30,625.5977777777778,230.99777777777777,625.5977777777778,398.6
2017-01-03 10:45,616.098888888889,231.9988888888889,616.098888888889,388.1
2017-01-03 11:00,615.7988888888889,232.9988888888889,615.7988888888889,386.79999999999995
2017-01-03 11:15,620.5,233.0,620.5,391.5
2017-01-03 11:30,631.0977777777778,234.9977777777778,631.0977777777778,400.1
2017-01-03 11:45,631.0,235.00000000000003,631.0,400.0
2017-01-03 12:00,621.8011111111111,234.00111111111113,621.8011111111111,391.8
2017-01-03 12:15,626.1,234.0,626.1,396.1
2017-01-03 12:30,632.3988888888889,234.9988888888889,632.3988888888889,401.4
2017-01-03 12:45,615.9,235.00000000000003,615.9,384.9
2017-01-03 13:00,625.2988888888889,235.9988888888889,625.2988888888889,393.3
2017-01-03 13:15,637.9033333333333,233.00333333333333,637.9033333333333,408.9
2017-01-03 13:30,627.3977777777777,234.9977777777778,627.3977777777777,396.4
